profile,seed,working_set_kib,request_period_ns,reads,avg_read_latency_ns,metadata_hit_rate_pct,overhead_vs_insecure_pct,crypto_increment_vs_anchor_pct,ticket_increment_vs_anchor_aead_pct,illustrative_ebfi_increment_vs_anchor_pct,illustrative_ebfi_latency_ns
insecure,1,256,20.0,19814,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,1,256,100.0,3950,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,1,4096,20.0,19814,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,1,4096,100.0,3950,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,1,65536,20.0,19814,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,1,65536,100.0,3950,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,2,256,20.0,19877,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,2,256,100.0,3987,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,2,4096,20.0,19877,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,2,4096,100.0,3987,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,2,65536,20.0,19877,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,2,65536,100.0,3987,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,3,256,20.0,19915,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,3,256,100.0,3993,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,3,4096,20.0,19915,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,3,4096,100.0,3993,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,3,65536,20.0,19915,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,3,65536,100.0,3993,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,4,256,20.0,19778,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,4,256,100.0,3924,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,4,4096,20.0,19778,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,4,4096,100.0,3924,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,4,65536,20.0,19778,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,4,65536,100.0,3924,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,5,256,20.0,19863,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,5,256,100.0,4019,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,5,4096,20.0,19863,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,5,4096,100.0,4019,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,5,65536,20.0,19863,205.0,0.0,0.0,0.0,0.0,0.0,0.0
insecure,5,65536,100.0,4019,205.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_only,1,256,20.0,19814,215.43413747855053,95.10447158574745,5.089823160268549,0.0,0.0,0.0,0.0
anchor_only,1,256,100.0,3950,237.88050632911393,60.68354430379747,16.039271380055574,0.0,0.0,0.0,0.0
anchor_only,1,4096,20.0,19814,280.3530836782073,11.845159987887353,36.75760179424748,0.0,0.0,0.0,0.0
anchor_only,1,4096,100.0,3950,266.2794936708861,23.31645569620253,29.892435937017606,0.0,0.0,0.0,0.0
anchor_only,1,65536,20.0,19814,282.0990208943171,6.010901382860603,37.60927848503274,0.0,0.0,0.0,0.0
anchor_only,1,65536,100.0,3950,268.6845569620253,20.151898734177216,31.065637542451356,0.0,0.0,0.0,0.0
anchor_only,2,256,20.0,19877,215.44146500981034,95.10992604517784,5.093397565761144,0.0,0.0,0.0,0.0
anchor_only,2,256,100.0,3987,238.38475043892652,60.0200652119388,16.28524411654952,0.0,0.0,0.0,0.0
anchor_only,2,4096,20.0,19877,280.465160738542,11.96860693263571,36.8122735309961,0.0,0.0,0.0,0.0
anchor_only,2,4096,100.0,3987,266.8823676950088,22.523200401304237,30.18652082683355,0.0,0.0,0.0,0.0
anchor_only,2,65536,20.0,19877,282.1743723901997,6.00694269759018,37.64603531229255,0.0,0.0,0.0,0.0
anchor_only,2,65536,100.0,3987,268.86481063456233,19.914722849260095,31.153566163201134,0.0,0.0,0.0,0.0
anchor_only,3,256,20.0,19915,215.4079839317098,95.15440622646247,5.077065332541363,0.0,0.0,0.0,0.0
anchor_only,3,256,100.0,3993,238.22489356373654,60.23040320560982,16.207265153042215,0.0,0.0,0.0,0.0
anchor_only,3,4096,20.0,19915,280.54883253828774,11.594275671604318,36.85308904306719,0.0,0.0,0.0,0.0
anchor_only,3,4096,100.0,3993,266.20385674931134,23.415977961432507,29.85553987771285,0.0,0.0,0.0,0.0
anchor_only,3,65536,20.0,19915,282.1451167461712,6.020587496861662,37.63176426642497,0.0,0.0,0.0,0.0
anchor_only,3,65536,100.0,3993,268.52592036063106,20.36063110443276,30.988253834454177,0.0,0.0,0.0,0.0
anchor_only,4,256,20.0,19778,215.4400849428658,95.12084133886137,5.092724362373566,0.0,0.0,0.0,0.0
anchor_only,4,256,100.0,3924,238.23343527013253,60.21916411824669,16.21143183908904,0.0,0.0,0.0,0.0
anchor_only,4,4096,20.0,19778,280.2655475781171,12.1751440995045,36.714901257618095,0.0,0.0,0.0,0.0
anchor_only,4,4096,100.0,3924,266.82059123343527,22.60448521916412,30.156385967529395,0.0,0.0,0.0,0.0
anchor_only,4,65536,20.0,19778,282.05137020932347,6.1836383860855495,37.586034248450474,0.0,0.0,0.0,0.0
anchor_only,4,65536,100.0,3924,269.16411824668705,19.520897043832825,31.299569876432706,0.0,0.0,0.0,0.0
anchor_only,5,256,20.0,19863,215.33715954286865,95.18199667723908,5.042516850179829,0.0,0.0,0.0,0.0
anchor_only,5,256,100.0,4019,238.31301318736004,60.114456332421,16.250250335297583,0.0,0.0,0.0,0.0
anchor_only,5,4096,20.0,19863,280.5028444847203,12.072697981171022,36.830655846205026,0.0,0.0,0.0,0.0
anchor_only,5,4096,100.0,4019,266.5648171186862,22.94103010699179,30.031618106676206,0.0,0.0,0.0,0.0
anchor_only,5,65536,20.0,19863,282.2090318682978,5.9054523485878265,37.66294237477942,0.0,0.0,0.0,0.0
anchor_only,5,65536,100.0,4019,268.5882060213984,20.27867628763374,31.01863708360897,0.0,0.0,0.0,0.0
anchor_aead,1,256,20.0,19814,241.11547390733824,95.10447158574745,17.617304345043046,11.920736764081623,8.294780785278878,21.20431653193122,261.11547390733824
anchor_aead,1,256,100.0,3950,262.8805063291139,60.68354430379747,28.234393331275083,10.509478219039876,7.6080194303038,18.917060794271777,282.8805063291139
anchor_aead,1,4096,20.0,19814,305.79358029675984,11.845159987887353,49.167600144760904,9.074448650528641,6.540359670268695,16.208309900635754,325.79358029675984
anchor_aead,1,4096,100.0,3950,291.2794936708861,23.31645569620253,42.08755788823712,9.38863134196105,6.866257472487167,16.899536415529887,311.2794936708861
anchor_aead,1,65536,20.0,19814,307.33733723629757,6.010901382860603,49.92065231038906,8.946616071891828,6.507507411838777,16.036325187717726,327.33733723629757
anchor_aead,1,65536,100.0,3950,293.6845569620253,20.151898734177216,43.260759493670875,9.304591332926288,6.810027809050269,16.748264399267317,313.6845569620253
anchor_aead,2,256,20.0,19877,241.115711626503,95.10992604517784,17.617420305611226,11.91704048963999,8.294772607344944,21.200304507125797,261.115711626503
anchor_aead,2,256,100.0,3987,263.3847504389265,60.0200652119388,28.48036606776903,10.48724801144733,7.593454050270685,18.877046420605193,283.3847504389265
anchor_aead,2,4096,20.0,19877,305.90416058761383,11.96860693263571,49.22154175005552,9.070288723948432,6.5379954171207855,16.20129920216059,325.90416058761383
anchor_aead,2,4096,100.0,3987,291.8823676950088,22.523200401304237,42.38164277805306,9.367422889686672,6.852075429543667,16.861361201436008,311.8823676950088
anchor_aead,2,65536,20.0,19877,307.4076067817075,6.00694269759018,49.954930137418295,8.942425982120891,6.5060198767957464,16.03024187078117,327.4076067817075
anchor_aead,2,65536,100.0,3987,293.86481063456233,19.914722849260095,43.348688114420646,9.298353302909426,6.805850607567689,16.73703594523697,313.86481063456233
anchor_aead,3,256,20.0,19915,241.11388400702987,95.15440622646247,17.61652878391701,11.933587421471595,8.294835480903656,21.218294345956135,261.11388400702987
anchor_aead,3,256,100.0,3993,263.22489356373654,60.23040320560982,28.402387104261727,10.494285305792909,7.598065566377466,18.889713550427235,283.22489356373654
anchor_aead,3,4096,20.0,19915,305.97715289982426,11.594275671604318,49.25714775601184,9.063776930194926,6.536435747066358,16.192660632560898,325.97715289982426
anchor_aead,3,4096,100.0,3993,291.20385674931134,23.415977961432507,42.05066182893236,9.391298948588458,6.868040905521866,16.904338107459225,311.20385674931134
anchor_aead,3,65536,20.0,19915,307.370273663068,6.020587496861662,49.93671886003318,8.940490343340006,6.50681009638672,16.029041168053652,327.370273663068
anchor_aead,3,65536,100.0,3993,293.52592036063106,20.36063110443276,43.18337578567369,9.310088190527354,6.8137083005915295,16.758158742949238,313.52592036063106
anchor_aead,4,256,20.0,19778,241.13307715643646,95.12084133886137,17.62589129582266,11.925817899851072,8.294175247896366,21.209141384106083,261.13307715643646
anchor_aead,4,256,100.0,3924,263.2334352701325,60.21916411824669,28.406553790308525,10.493909039951712,7.597819015458969,18.8890362719131,283.2334352701325
anchor_aead,4,4096,20.0,19778,305.6999696632622,12.1751440995045,49.12193642110351,9.07511547706587,6.542362441851273,16.21120486544333,325.6999696632622
anchor_aead,4,4096,100.0,3924,291.82059123343527,22.60448521916412,42.35150791874891,9.369591711206452,6.853525967947016,16.865265080171614,311.82059123343527
anchor_aead,4,65536,20.0,19778,307.2758620689655,6.1836383860855495,49.890664423885625,8.943226136757211,6.508809336774773,16.03413301133012,327.2758620689655
anchor_aead,4,65536,100.0,3924,294.16411824668705,19.520897043832825,43.49469182765222,9.28801363378148,6.798925755869358,16.718424540806666,314.16411824668705
anchor_aead,5,256,20.0,19863,241.0271862256457,95.18199667723908,17.574237183241802,11.930140964668364,8.29781914363649,21.217901629133912,261.02718622564566
anchor_aead,5,256,100.0,4019,263.31301318736,60.114456332421,28.445372286517077,10.490404894652205,7.5955228182243415,18.88272881037398,283.31301318736
anchor_aead,5,4096,20.0,19863,305.9299702965312,12.072697981171022,49.23413185196645,9.064837063781008,6.537443840698065,16.19488953677454,325.9299702965312
anchor_aead,5,4096,100.0,4019,291.5648171186862,22.94103010699179,42.22674005789572,9.378582016271455,6.8595381972505525,16.88144762928862,311.5648171186862
anchor_aead,5,65536,20.0,19863,307.42702512208626,5.9054523485878265,49.96440249857867,8.935927063297273,6.5056089301379885,16.022872462455744,327.42702512208626
anchor_aead,5,65536,100.0,4019,293.5882060213984,20.27867628763374,43.21375903482848,9.307929179142086,6.812262750957471,16.754272522455754,313.5882060213984
