mode,seed,working_set_kib,request_period_ns,traffic_pattern,reads,writes,avg_read_latency_ns,avg_write_latency_ns,metadata_hit_rate_pct,aead_queue_ns_per_op,metadata_queue_ns_per_read,late_check_rate_pct,late_check_window_ns,ratchets,read_overhead_pct
baseline,1,65536,20.0,uniform,19814,5185,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,65536,20.0,linear,19716,5283,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,65536,20.0,stride4k,19716,5283,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,65536,20.0,hotcold,19786,5194,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,20.0,uniform,19877,5122,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,20.0,linear,19834,5165,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,20.0,stride4k,19834,5165,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,20.0,hotcold,19741,5239,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,20.0,uniform,19915,5084,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,20.0,linear,19809,5190,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,20.0,stride4k,19809,5190,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,20.0,hotcold,19699,5281,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,20.0,uniform,19778,5221,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,20.0,linear,19806,5193,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,20.0,stride4k,19806,5193,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,20.0,hotcold,19808,5172,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,20.0,uniform,19863,5136,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,20.0,linear,19834,5165,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,20.0,stride4k,19834,5165,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,20.0,hotcold,20120,4860,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
optimistic,1,65536,20.0,uniform,19814,5185,229.20712627435148,231.01542912246867,6.015948319370143,0.1641665666626665,0.0,0.0,0.0,1,11.808354280171454
optimistic,1,65536,20.0,linear,19716,5283,229.21272063298844,231.015332197615,1.881720430107527,0.16776671066842672,0.0,0.0,0.0,1,11.811083235604114
optimistic,1,65536,20.0,stride4k,19716,5283,229.21272063298844,231.015332197615,0.0,0.16776671066842672,0.0,0.0,0.0,1,11.811083235604114
optimistic,1,65536,20.0,hotcold,19786,5194,229.20686343879512,231.01540238737005,87.17274840796523,0.16385108086469177,0.0,0.0,0.0,1,11.80822606770494
optimistic,2,65536,20.0,uniform,19877,5122,229.20314936861698,231.01561889886764,6.00694269759018,0.16152646105844234,0.0,0.0,0.0,1,11.806414326154623
optimistic,2,65536,20.0,linear,19834,5165,229.20802662095392,231.015876089061,1.8806090551578099,0.16504660186407458,0.0,0.0,0.0,1,11.808793473636056
optimistic,2,65536,20.0,stride4k,19834,5165,229.20802662095392,231.015876089061,0.0,0.16504660186407458,0.0,0.0,0.0,1,11.808793473636056
optimistic,2,65536,20.0,hotcold,19741,5239,229.2047008763487,231.01565184195456,87.28534522060686,0.16176941553242594,0.0,0.0,0.0,1,11.807171159194493
optimistic,3,65536,20.0,uniform,19915,5084,229.20271152397692,231.01612903225805,6.020587496861662,0.16148645945837833,0.0,0.0,0.0,1,11.806200743403373
optimistic,3,65536,20.0,linear,19809,5190,229.20687566257763,231.01541425818883,1.933464586803978,0.16392655706228249,0.0,0.0,0.0,1,11.808232030525675
optimistic,3,65536,20.0,stride4k,19809,5190,229.20687566257763,231.01541425818883,0.0,0.16392655706228249,0.0,0.0,0.0,1,11.808232030525675
optimistic,3,65536,20.0,hotcold,19699,5281,229.2076247525255,231.01514864608976,87.0348748667445,0.16373098478783027,0.0,0.0,0.0,1,11.808597440256342
optimistic,4,65536,20.0,uniform,19778,5221,229.2064415006573,231.0153227351082,6.1836383860855495,0.16332653306132247,0.0,0.0,0.0,1,11.80802024422307
optimistic,4,65536,20.0,linear,19806,5193,229.20640210037362,231.01559792027732,1.9489043724124002,0.16352654106164247,0.0,0.0,0.0,1,11.8080010245725
optimistic,4,65536,20.0,stride4k,19806,5193,229.20640210037362,231.01559792027732,0.0,0.16352654106164247,0.0,0.0,0.0,1,11.8080010245725
optimistic,4,65536,20.0,hotcold,19808,5172,229.20380654281098,231.01566125290023,87.9190226171244,0.16160928742994396,0.0,0.0,0.0,1,11.806734898932186
optimistic,5,65536,20.0,uniform,19863,5136,229.2066656597694,231.01557632398755,5.9054523485878265,0.1642065682627305,0.0,0.0,0.0,1,11.808129590131422
optimistic,5,65536,20.0,linear,19834,5165,229.20505193102753,231.01548886737658,1.8604416658263587,0.1626865074602984,0.0,0.0,0.0,1,11.807342405379282
optimistic,5,65536,20.0,stride4k,19834,5165,229.20505193102753,231.01548886737658,0.0,0.1626865074602984,0.0,0.0,0.0,1,11.807342405379282
optimistic,5,65536,20.0,hotcold,20120,4860,229.19681908548708,231.0164609053498,86.8041749502982,0.15852682145716573,0.0,0.0,0.0,1,11.803326383164428
verified,1,65536,20.0,uniform,19814,5185,307.33552033915413,291.1286403085825,6.015948319370143,14.767190687627505,0.0,0.0,0.0,1,49.919766019099576
verified,1,65536,20.0,linear,19716,5283,307.58531142219516,291.6291879613856,1.881720430107527,12.821112844513781,0.0,0.0,0.0,1,50.041615327900075
verified,1,65536,20.0,stride4k,19716,5283,309.0,292.9144425515805,0.0,13.080643225729029,0.0,0.0,0.0,1,50.73170731707317
verified,1,65536,20.0,hotcold,19786,5194,249.30749014454665,243.6328455910666,87.17274840796523,7.8057646116893515,0.0,0.0,0.0,1,21.61340982660812
verified,2,65536,20.0,uniform,19877,5122,307.4076067817075,291.79285435376806,6.00694269759018,14.810712428497139,0.0,0.0,0.0,1,49.954930137418295
verified,2,65536,20.0,linear,19834,5165,307.5929212463447,291.7548886737658,1.8806090551578099,12.566382655306212,0.0,0.0,0.0,1,50.04532743724132
verified,2,65536,20.0,stride4k,19834,5165,309.0,292.97057115198453,0.0,12.799991999679987,0.0,0.0,0.0,1,50.73170731707317
verified,2,65536,20.0,hotcold,19741,5239,249.40767944886275,242.87497614048482,87.28534522060686,7.808006405124099,0.0,0.0,0.0,1,21.66228265798183
verified,3,65536,20.0,uniform,19915,5084,307.370273663068,291.8676239181747,6.020587496861662,14.716308652346093,0.0,0.0,0.0,1,49.93671886003318
verified,3,65536,20.0,linear,19809,5190,307.5479327578374,291.8221579961464,1.933464586803978,12.636945477819111,0.0,0.0,0.0,1,50.0233818330914
verified,3,65536,20.0,stride4k,19809,5190,309.0,293.0612716763006,0.0,12.880595223808951,0.0,0.0,0.0,1,50.73170731707317
verified,3,65536,20.0,hotcold,19699,5281,249.9872582364587,242.79625071009278,87.0348748667445,8.1080064051241,0.0,0.0,0.0,1,21.945004017784733
verified,4,65536,20.0,uniform,19778,5221,307.2758620689655,291.1174104577667,6.1836383860855495,14.900276011040441,0.0,0.0,0.0,1,49.890664423885625
verified,4,65536,20.0,linear,19806,5193,307.54791477330104,291.8016560754862,1.9489043724124002,12.649545981839275,0.0,0.0,0.0,1,50.02337306014685
verified,4,65536,20.0,stride4k,19806,5193,309.0,293.0396687849028,0.0,12.883675347013881,0.0,0.0,0.0,1,50.73170731707317
verified,4,65536,20.0,hotcold,19808,5172,248.62217285945073,242.75657385924208,87.9190226171244,7.528062449959968,0.0,0.0,0.0,1,21.279108711927186
verified,5,65536,20.0,uniform,19863,5136,307.42702512208626,291.6057242990654,5.9054523485878265,14.758510340413617,0.0,0.0,0.0,1,49.96440249857867
verified,5,65536,20.0,linear,19834,5165,307.60401331047694,291.944820909971,1.8604416658263587,12.60234409376375,0.0,0.0,0.0,1,50.05073820023266
verified,5,65536,20.0,stride4k,19834,5165,309.0,293.1905130687319,0.0,12.845473818952758,0.0,0.0,0.0,1,50.73170731707317
verified,5,65536,20.0,hotcold,20120,4860,250.14791252485088,245.0895061728395,86.8041749502982,8.463570856685347,0.0,0.0,0.0,1,22.023371963341894
